Category,Book English,Book Hebrew,order,Chapters,Chapter_Value
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,1,31
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,2,25
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,3,24
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,4,26
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,5,32
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,6,22
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,7,24
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,8,22
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,9,29
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,10,32
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,11,32
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,12,20
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,13,18
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,14,24
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,15,21
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,16,16
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,17,27
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,18,33
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,19,38
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,20,18
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,21,34
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,22,24
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,23,20
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,24,67
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,25,34
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,26,35
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,27,46
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,28,22
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,29,35
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,30,43
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,31,54
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,32,33
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,33,20
cmrokiuhp0000f3hw2ua261dx,Genesis,בראשית,1,34,31
